


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
31/10/2014;3679.99
03/11/2014;3679.58
04/11/2014;3669.18
05/11/2014;3691.38
06/11/2014;3706.45
07/11/2014;3708.46
10/11/2014;3720.25
11/11/2014;3722.84
12/11/2014;3721.3
13/11/2014;3723.58
14/11/2014;3724.92
17/11/2014;3727.86
18/11/2014;3747.74
19/11/2014;3742.35
20/11/2014;3749.87
21/11/2014;3770.03
24/11/2014;3780.88
25/11/2014;3776.94
26/11/2014;3788.42
28/11/2014;3778.96
01/12/2014;3753.31
02/12/2014;3777.47
03/12/2014;3792.69
04/12/2014;3788.34
05/12/2014;3794.68
08/12/2014;3767.7
09/12/2014;3766.83
10/12/2014;3705.51
11/12/2014;3723.32
12/12/2014;3663.1
15/12/2014;3639.97
16/12/2014;3609.06
17/12/2014;3682.7
18/12/2014;3771.72
19/12/2014;3788.97
22/12/2014;3803.94
23/12/2014;3810.78
24/12/2014;3810.39
26/12/2014;3823
29/12/2014;3826.95
30/12/2014;3808.69
31/12/2014;3769.44
02/01/2015;3768.68
05/01/2015;3700.03
06/01/2015;3667.14
07/01/2015;3710.94
08/01/2015;3777.4
09/01/2015;3745.67
12/01/2015;3715.36
13/01/2015;3706.15
14/01/2015;3684.72
15/01/2015;3650.74
16/01/2015;3699.79
20/01/2015;3705.64
21/01/2015;3723.62
22/01/2015;3780.51
23/01/2015;3759.76
26/01/2015;3769.45
27/01/2015;3718.99
28/01/2015;3669.1
29/01/2015;3704.35
30/01/2015;3656.28
02/02/2015;3703.77
03/02/2015;3757.34
04/02/2015;3742.84
05/02/2015;3782.11
06/02/2015;3770.2
09/02/2015;3754.36
10/02/2015;3794.62
11/02/2015;3795.82
12/02/2015;3833.35
13/02/2015;3849.29
17/02/2015;3856.04
18/02/2015;3855
19/02/2015;3851.53
20/02/2015;3875.6
23/02/2015;3874.46
24/02/2015;3885.27
25/02/2015;3882.95
26/02/2015;3877.85
27/02/2015;3866.42
02/03/2015;3890.32
03/03/2015;3872.71
04/03/2015;3856.51
05/03/2015;3861.29
06/03/2015;3807.04
09/03/2015;3822.42
10/03/2015;3757.83
11/03/2015;3751.2
12/03/2015;3799.43
13/03/2015;3776.44
16/03/2015;3827.62
17/03/2015;3814.91
18/03/2015;3861.39
19/03/2015;3842.62
20/03/2015;3877.26
23/03/2015;3870.49
24/03/2015;3847.05
25/03/2015;3791.13
26/03/2015;3782.21
27/03/2015;3791.9
30/03/2015;3838.65
31/03/2015;3805.27
01/04/2015;3790.66
02/04/2015;3804.14
06/04/2015;3829.31
07/04/2015;3821.49
08/04/2015;3833.2
09/04/2015;3850.29
10/04/2015;3870.31
13/04/2015;3852.93
14/04/2015;3859.22
15/04/2015;3879.1
16/04/2015;3876.17
17/04/2015;3832.33
20/04/2015;3867.82
21/04/2015;3862.15
22/04/2015;3881.93
23/04/2015;3891.46
24/04/2015;3900.24
27/04/2015;3884.1
28/04/2015;3895.21
29/04/2015;3880.9
30/04/2015;3841.78
01/05/2015;3883.75
04/05/2015;3895.16
05/05/2015;3849.41
06/05/2015;3833.7
07/05/2015;3849.13
08/05/2015;3901.01
11/05/2015;3881.93
